what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956305373
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956316569
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1361956322999
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361956323279
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361956329548
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361956350989
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956354314
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956355946
started,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1361956356066
started,bundle,org.eclipse.mylyn.java.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.java.ui,1361956356317
started,bundle,org.eclipse.mylyn.pde.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.pde.ui,1361956356427
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361956357919
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361956357999
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361956360152
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956374943
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956376506
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956382084
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956404496
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361956408992
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.add.import,1361956416774
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1361956417685
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.organize.imports,1361956426978
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1361956427439
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361956429832
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361956431355
