what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361966809868
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361966812031
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1361966815897
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1361966818380
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1361966819882
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1361966833572
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1361966843777
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1361966844348
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966853311
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966862944
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966864156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966865929
activated,editor,com.aptana.ide.editors,1.2.5.023247,com.aptana.ide.ui.UntitledTextEditor,1361966868232
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1361966869143
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1361966869714
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966870635
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1361966870665
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966881391
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1361966882372
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1361966888611
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1361966896202
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966904124
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361966916421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1361966918064
activated,editor,com.aptana.ide.editors,1.2.5.023247,com.aptana.ide.ui.UntitledTextEditor,1361966919636
