what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1361956098706
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956103143
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956128048
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956129240
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956131033
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956132375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956168256
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361956169678
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1361956170720
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956171030
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956171411
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1361956173494
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956173654
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956189527
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956197398
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956201354
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956203076
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956204408
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956214703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956300146
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1361956301788
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1361956302179
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956302459
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956303921
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1361956305223
