what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361955266580
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361955274741
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361955779597
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361955781610
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361955784655
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361955797783
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956027574
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1361956033573
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1361956034454
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1361956034774
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1361956034774
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1361956038209
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956046221
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956055494
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956055995
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956056155
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1361956064217
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361956066740
started,bundle,org.eclipse.mylyn.java.tasks,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.java.tasks,1361956088752
started,bundle,org.polarion.eclipse.team.svn.connector.javahl,2.1.0.I20090213-1500,org.polarion.eclipse.team.svn.connector.javahl,1361956089102
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit,2.1.0.I20090213-1500,org.polarion.eclipse.team.svn.connector.svnkit,1361956089132
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.1.0.I20090213-1500,org.polarion.eclipse.team.svn.connector.svnkit15,1361956089162
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956095672
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361956095672
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1361956098306
