what,kind,bundleId,bundleVersion,description,time
activated,editor,com.aptana.ide.editor.xml,1.2.5.023247,com.aptana.ide.editors.XMLEditor,1361969302693
activated,editor,com.aptana.ide.editors,1.2.5.023247,com.aptana.ide.ui.UntitledTextEditor,1361969306909
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1361969320138
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361969361187
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1361969363780
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1361969370570
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361969761132
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361969901113
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975593659
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975598175
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAutomatically,1361975601290
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975603923
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975606918
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.cleanAction,1361975606978
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975607869
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975608280
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975610112
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975611735
started,bundle,org.eclipse.mylyn.ide.ant,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.ide.ant,1361975611905
started,bundle,org.eclipse.mylyn.resources.ui,3.1.0.v20090315-1500-e3x,org.eclipse.mylyn.resources.ui,1361975612085
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.0.0.v20090315-1500-e3x,org.eclipse.mylyn.wikitext.tasks.ui,1361975612135
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1361975614268
stopped,bundle,com.aptana.ide.extras,1.2.5.023247,com.aptana.ide.extras,1361975623091
stopped,bundle,com.aptana.ide.scripting,1.2.5.023247,com.aptana.ide.scripting,1361975623091
stopped,bundle,com.aptana.ide.js.docgen,1.2.5.023247,com.aptana.ide.js.docgen,1361975623091
